Method,Client,Epoch,Test_Accuracy,F1_Score
ReduceComplexity,A,6,0.5757714810141104,0.5138924379553875
ReduceComplexity,A,7,0.6100722725708386,0.5536582916027927
ReduceComplexity,A,8,0.6124813582654584,0.5565002354851255
ReduceComplexity,A,9,0.6206263622806011,0.5674670847039052
ReduceComplexity,A,10,0.6203969255477803,0.5678923747423298
ReduceComplexity,A,FineTune_1,0.6811976597453252,0.6385966466809258
ReduceComplexity,A,FineTune_2,0.6730526557301824,0.6281332473332377
ReduceComplexity,A,FineTune_3,0.6809682230125043,0.6409721869013887
ReduceComplexity,A,FineTune_4,0.6784444189514741,0.640979261505545
ReduceComplexity,A,FineTune_5,0.6702994149363313,0.6296194044589755
ReduceComplexity,A,FineTune_6,0.669496386371458,0.6318920328995178
ReduceComplexity,A,FineTune_7,0.6689227945394057,0.6335194862461964
ReduceComplexity,A,FineTune_8,0.6645634966158082,0.6270554228582089
ReduceComplexity,A,FineTune_9,0.6668578639440175,0.6336550102751562
ReduceComplexity,A,FineTune_10,0.6711024435012045,0.6429933312135926
Baseline,B,1,0.42744063324538256,0.3322576017247535
Baseline,B,2,0.5622347137776758,0.5066210719629498
Baseline,B,3,0.6177584031203396,0.5557389011763375
Baseline,B,4,0.6382929907078123,0.5888379353026614
Baseline,B,5,0.6482734885855226,0.609774154814749
Baseline,B,6,0.6605483537914421,0.625085244374141
Baseline,B,7,0.6631868762188826,0.6306997033867014
Baseline,B,8,0.6646782149822187,0.6343383771975022
Baseline,B,9,0.6673167374096592,0.6433334175974833
Baseline,B,10,0.6678903292417115,0.6437560173457259
Baseline,B,FineTune_1,0.733738671561317,0.7209232461066561
Baseline,B,FineTune_2,0.7366066307215785,0.7244129845664568
SmallBatch,B,1,0.48961798783985316,0.43565968727151894
SmallBatch,B,2,0.6058276930136515,0.544509167896356
SmallBatch,B,3,0.6103017093036596,0.5514874771342712
SmallBatch,B,4,0.6354250315475508,0.580643521282968
SmallBatch,B,5,0.6494206722496272,0.6005527669767596
SmallBatch,B,6,0.6460938396237238,0.5996645337134093
SmallBatch,B,7,0.6592864517609269,0.624113963686258
SmallBatch,B,8,0.6611219456234944,0.6281317540200031
SmallBatch,B,9,0.666513708844786,0.6380384863409114
SmallBatch,B,10,0.6639899047837559,0.6356090243620841
SmallBatch,B,FineTune_1,0.7371802225536308,0.7223728122963107
SmallBatch,B,FineTune_2,0.7391304347826086,0.7260582640822778
MixedPrecision,B,1,0.4936331306642193,0.4134142473274503
MixedPrecision,B,2,0.5665940117012733,0.49209596130200134
MixedPrecision,B,3,0.6179878398531605,0.5574242359087319
MixedPrecision,B,4,0.6331306642193415,0.581393076911351
MixedPrecision,B,5,0.6433405988298727,0.5981882465665777
MixedPrecision,B,6,0.6564184926006653,0.6229088903127619
MixedPrecision,B,7,0.6573362395319491,0.6240067901806663
MixedPrecision,B,8,0.6636457496845245,0.6354823977520403
MixedPrecision,B,9,0.6659401170127337,0.6417326643128962
MixedPrecision,B,10,0.6635310313181141,0.6395155444359916
MixedPrecision,B,FineTune_1,0.7313295858666973,0.7168945621572527
MixedPrecision,B,FineTune_2,0.7347711368590111,0.7198666969445272
ReduceComplexity,B,1,0.2723414018584375,0.19026517498472914
ReduceComplexity,B,2,0.45336698405414705,0.35626285527901747
ReduceComplexity,B,3,0.4571526901456923,0.3555429499285184
ReduceComplexity,B,4,0.5001720775496157,0.403760714474391
ReduceComplexity,B,5,0.5290811058850522,0.4344767231374854
ReduceComplexity,B,6,0.541700126190203,0.4507474332890563
ReduceComplexity,B,7,0.5399793506940461,0.45563814740561
ReduceComplexity,B,8,0.5613169668463921,0.4864125747667601
ReduceComplexity,B,9,0.5760009177469313,0.5081863333714257
ReduceComplexity,B,10,0.5888493747849031,0.5230909750910084
ReduceComplexity,B,FineTune_1,0.680394631180452,0.6385771413884161
ReduceComplexity,B,FineTune_2,0.6806240679132729,0.6387879477842051
ReduceComplexity,B,FineTune_3,0.6799357577148102,0.6382107603280253
ReduceComplexity,B,FineTune_4,0.6728232189973615,0.6312323927697542
ReduceComplexity,B,FineTune_5,0.6782149822186532,0.6398034155181764
ReduceComplexity,B,FineTune_6,0.6672020190432488,0.6264917230098423
ReduceComplexity,B,FineTune_7,0.6725937822645406,0.6372087683494
ReduceComplexity,B,FineTune_8,0.6638751864173454,0.6233265661296755
ReduceComplexity,B,FineTune_9,0.6633015945852931,0.626216275944648
ReduceComplexity,B,FineTune_10,0.6724790638981301,0.641437342928834
