Method,Client,Epoch,Test_Accuracy,F1_Score
MixedPrecision,B,8,0.9290057518488085,0.9216263944526946
MixedPrecision,B,9,0.9232539030402629,0.9162370710214903
MixedPrecision,B,10,0.9258833196384553,0.9192187872849357
MixedPrecision,B,FineTune_1,0.9125718981101069,0.8958799949026267
MixedPrecision,B,FineTune_2,0.9068200493015612,0.8913983824656468
MixedPrecision,B,FineTune_3,0.9212818405916188,0.9101940697281695
MixedPrecision,B,FineTune_4,0.9252259654889071,0.9170901018430859
MixedPrecision,B,FineTune_5,0.9255546425636811,0.9178451570785257
MixedPrecision,B,FineTune_6,0.9248972884141331,0.9172949150152361
MixedPrecision,B,FineTune_7,0.9275267050123254,0.9209885249110938
MixedPrecision,B,FineTune_8,0.9286770747740345,0.9219642806801768
MixedPrecision,B,FineTune_9,0.9290057518488085,0.9226991595189746
MixedPrecision,B,FineTune_10,0.9290057518488085,0.9227769479570124
ReduceComplexity,B,1,0.6774034511092851,0.5949491047621482
ReduceComplexity,B,2,0.7479046836483155,0.6682477957661145
ReduceComplexity,B,3,0.752834839769926,0.6736422593985394
ReduceComplexity,B,4,0.7482333607230895,0.6679783669349395
ReduceComplexity,B,5,0.7976992604765818,0.751122139301816
ReduceComplexity,B,6,0.8514379622021364,0.821746711536331
ReduceComplexity,B,7,0.9000821692686936,0.883724699788661
ReduceComplexity,B,8,0.9082990961380444,0.8942855395502054
ReduceComplexity,B,9,0.9101068200493015,0.8962981175385989
ReduceComplexity,B,10,0.9046836483155299,0.890793901836847
ReduceComplexity,B,FineTune_1,0.9171733771569432,0.9088196475006772
