Method,Client,Epoch,Test_Accuracy,F1_Score
MixedPrecision with FineTune,A,1,0.8931799506984388,0.876118796041845
MixedPrecision with FineTune,A,2,0.9138866064092028,0.9000655919863423
MixedPrecision with FineTune,A,3,0.9209531635168448,0.9110808109047124
MixedPrecision with FineTune,A,4,0.924075595727198,0.9162096697912144
MixedPrecision with FineTune,A,5,0.9248972884141332,0.9168871750938056
MixedPrecision with FineTune,A,6,0.9270336894001644,0.9195029468218568
MixedPrecision with FineTune,A,7,0.9270336894001644,0.9201352349006102
MixedPrecision with FineTune,A,8,0.9273623664749384,0.9196924130147702
MixedPrecision with FineTune,A,9,0.9260476581758422,0.9194867653933272
MixedPrecision with FineTune,A,10,0.924732949876746,0.917908966992268
ReduceComplexity,A,1,0.7766639276910435,0.7321185601749018
ReduceComplexity,A,2,0.8770747740345111,0.8597624327064219
ReduceComplexity,A,3,0.8940016433853739,0.8769959576885789
ReduceComplexity,A,4,0.9022185702547248,0.8856234162639184
ReduceComplexity,A,5,0.903368940016434,0.8868924380723803
ReduceComplexity,A,6,0.90468364831553,0.888390384442753
ReduceComplexity,A,7,0.9082990961380444,0.8933678263497534
ReduceComplexity,A,8,0.9076417419884965,0.8918970695508647
ReduceComplexity,A,9,0.9087921117502056,0.8949698780352091
ReduceComplexity,A,10,0.9086277732128184,0.8939433610030085
ReduceComplexity with FineTune,A,1,0.9196384552177486,0.9108190080299964
Baseline,B,1,0.8402629416598192,0.8096667086231778
Baseline,B,2,0.903861955628595,0.890821910470724
Baseline,B,3,0.9087921117502056,0.8975080009856538
Baseline,B,4,0.9175020542317174,0.9093579761782552
Baseline,B,5,0.913393590797042,0.9052519459413554
Baseline,B,6,0.9204601479046836,0.913467087365439
Baseline,B,7,0.9294987674609696,0.9251049378932004
Baseline,B,8,0.9250616269515202,0.918909815608078
Baseline,B,9,0.9245686113393592,0.9185566340347568
Baseline,B,10,0.9285127362366477,0.9240855133746828
Baseline with FineTune,B,1,0.9198027937551356,0.9096160700588592
Baseline with FineTune,B,2,0.9285127362366477,0.9207833786300142
Baseline with FineTune,B,3,0.9275267050123254,0.9208381007555524
Baseline with FineTune,B,4,0.9283483976992604,0.9208940349196624
Baseline with FineTune,B,5,0.9263763352506162,0.9188853921102428
Baseline with FineTune,B,6,0.9265406737880032,0.9195048164051164
Baseline with FineTune,B,7,0.9293344289235824,0.9225659102719524
Baseline with FineTune,B,8,0.9306491372226788,0.9246632650789396
SmallBatch,B,1,0.8310599835661463,0.7916394912747353
SmallBatch,B,2,0.9032046014790468,0.8887789752343973
SmallBatch,B,3,0.9104354971240756,0.896367952624153
SmallBatch,B,4,0.9109285127362368,0.8984578178317095
SmallBatch,B,5,0.9138866064092028,0.9028277919548778
SmallBatch,B,6,0.9183237469186524,0.9096293756060468
SmallBatch,B,7,0.9204601479046836,0.9122423936737384
SmallBatch,B,8,0.9160230073952342,0.9073720969220568
SmallBatch,B,9,0.9209531635168448,0.913418248721624
SmallBatch,B,10,0.9209531635168448,0.9126226827740757
SmallBatch with FineTune,B,1,0.934100246507806,0.928318803618407
MixedPrecision,B,1,0.8723089564502876,0.8545960188142256
MixedPrecision,B,2,0.9012325390304028,0.8853355708991616
MixedPrecision,B,3,0.9109285127362368,0.8973770023860838
MixedPrecision,B,4,0.9132292522596548,0.8991069894253856
MixedPrecision,B,5,0.9165160230073952,0.9031699040732952
MixedPrecision,B,6,0.9179950698438784,0.906024023725754
MixedPrecision,B,7,0.9202958093672966,0.9114966174711406
MixedPrecision,B,8,0.922760887428102,0.9149498122423104
MixedPrecision,B,9,0.9219391947411668,0.9139585571558764
MixedPrecision,B,10,0.9258833196384552,0.918365190714746
MixedPrecision with FineTune,B,1,0.9013968775677896,0.8841950638057124
MixedPrecision with FineTune,B,2,0.9099424815119146,0.8935408972161547
MixedPrecision with FineTune,B,3,0.9214461791290056,0.9110853853798954
MixedPrecision with FineTune,B,4,0.9252259654889072,0.9167919419496984
MixedPrecision with FineTune,B,5,0.9270336894001644,0.9193437842863992
ReduceComplexity,B,1,0.780608052588332,0.7420296872985981
ReduceComplexity,B,2,0.847822514379622,0.8177413353304128
ReduceComplexity,B,3,0.905669679539852,0.8933263037278067
ReduceComplexity,B,4,0.9027115858668858,0.8892128088383854
ReduceComplexity,B,5,0.9117502054231718,0.9010576643055068
ReduceComplexity,B,6,0.9183237469186524,0.9099078070895296
ReduceComplexity,B,7,0.915036976170912,0.9044343107233084
ReduceComplexity,B,8,0.9196384552177486,0.9114846979701584
ReduceComplexity,B,9,0.9163516844700084,0.905380614207222
ReduceComplexity,B,10,0.9216105176663928,0.91303665448289
ReduceComplexity with FineTune,B,1,0.9206244864420706,0.9124766938859176
ReduceComplexity with FineTune,B,2,0.9248972884141332,0.917065576799722
